"rown","id_cnpj","id_dt_ini","id_dt_fin","uf","cod_aj","descr_sped","vl_aj_apur","fonte_sped","descr_abrev","descr_aj","deb_ou_cred","tipo_aj","nome_tipo_aj","centralizacao","fonte","chv_nf","id_importation","has_nf","origem_ajuste"
1,"09017661000528","01/12/2023","31/12/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/07/2023","31/07/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/11/2023","30/11/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/07/2023","31/07/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/01/2023","31/01/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/05/2023","31/05/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001257","01/12/2023","31/12/2023",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/08/2023","31/08/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/07/2023","31/07/2023",PA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/10/2023","31/10/2023",PA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/11/2023","30/11/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001095","01/08/2023","31/08/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/02/2023","28/02/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/02/2023","28/02/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/10/2023","31/10/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/07/2023","31/07/2023",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/07/2023","31/07/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/11/2023","30/11/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/10/2022","31/10/2022",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/05/2023","31/05/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/06/2023","30/06/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/05/2023","31/05/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/10/2023","31/10/2023",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/03/2023","31/03/2023",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/07/2022","31/07/2022",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000102","01/06/2023","30/06/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001095","01/09/2023","30/09/2023",GO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/10/2023","31/10/2023",RS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/06/2023","30/06/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/10/2023","31/10/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/08/2023","31/08/2023",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/07/2023","31/07/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/04/2023","30/04/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/06/2023","30/06/2023",TO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/05/2023","31/05/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/12/2023","31/12/2023",RJ,"","",-0.0,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/08/2023","31/08/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/06/2023","30/06/2023",ES,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/04/2023","30/04/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/03/2023","31/03/2023",PA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/08/2022","31/08/2022",TO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/09/2022","30/09/2022",SP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/12/2022","31/12/2022",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/04/2023","30/04/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/02/2023","28/02/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/07/2023","31/07/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/04/2023","30/04/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/01/2023","31/01/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/12/2022","31/12/2022",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001176","01/07/2023","31/07/2023",PA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/06/2023","30/06/2023",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/10/2023","31/10/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/08/2023","31/08/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001176","01/06/2023","30/06/2023",RN,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/02/2023","28/02/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/10/2023","31/10/2023",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/05/2023","31/05/2023",BA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/04/2023","30/04/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/08/2023","31/08/2023",RS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/12/2023","31/12/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/07/2023","31/07/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/07/2022","31/07/2022",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/02/2023","28/02/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000102","01/07/2023","31/07/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/06/2023","30/06/2023",BA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/08/2023","31/08/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/03/2023","31/03/2023",MS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/09/2023","30/09/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/01/2023","31/01/2023",MT,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/11/2023","30/11/2023",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/09/2023","30/09/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/11/2023","30/11/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/06/2023","30/06/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/11/2023","30/11/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/08/2023","31/08/2023",SC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/10/2022","31/10/2022",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/09/2023","30/09/2023",RJ,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/06/2023","30/06/2023",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/11/2023","30/11/2023",RS,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/04/2023","30/04/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/10/2023","31/10/2023",RN,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/12/2023","31/12/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/02/2023","28/02/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/01/2023","31/01/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/08/2023","31/08/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/12/2023","31/12/2023",TO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/04/2023","30/04/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/10/2023","31/10/2023",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/08/2023","31/08/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/12/2023","31/12/2023",PR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/01/2023","31/01/2023",MT,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/11/2023","30/11/2023",RJ,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/09/2023","30/09/2023",TO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/04/2023","30/04/2023",PI,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/03/2023","31/03/2023",RJ,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001095","01/12/2023","31/12/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/12/2023","31/12/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/12/2023","31/12/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/01/2023","31/01/2023",BA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/01/2023","31/01/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/02/2023","28/02/2023",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000870","01/01/2023","31/01/2023",AM,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/03/2023","31/03/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/04/2023","30/04/2023",AP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000609","01/01/2023","31/01/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/01/2023","31/01/2023",SE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000410","01/11/2023","30/11/2023",PE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001176","01/10/2023","31/10/2023",MG,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/03/2023","31/03/2023",ES,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/10/2023","31/10/2023",PR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/11/2023","30/11/2023",MA,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/03/2023","31/03/2023",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/12/2023","31/12/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000951","01/05/2023","31/05/2023",GO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/09/2023","30/09/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000528","01/03/2023","31/03/2023",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661001257","01/09/2023","30/09/2023",AL,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000177","01/08/2023","31/08/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/12/2023","31/12/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/07/2023","31/07/2023",DF,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/02/2023","28/02/2023",CE,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000447","01/05/2023","31/05/2023",RR,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000366","01/07/2023","31/07/2023",SP,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000790","01/05/2023","31/05/2023",PB,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000258","01/08/2023","31/08/2023",AC,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"35068230000339","01/05/2023","31/05/2023",RN,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
1,"09017661000285","01/04/2023","30/04/2023",RO,"","",,"","","","",APURACAO_ICMS_ST_SLD_CREDOR,Saldo Credor Anterior,"","","","6601c26ae4d1f54a569c6d53",false,ICMS_ST_CREDOR
